week,n,Jaccard PCoA 3,test-statistic,p-value,q-value
2.0,29,0.006911166840188605,420.5,0.496896611801727,0.9025982581466732
3.0,30,-0.005832999082623774,401.0,0.30575272908131135,0.9025982581466732
4.0,30,0.007495092409571274,407.0,0.3383560550168496,0.9025982581466732
5.0,30,-0.0542544224415797,351.0,0.10275229279901116,0.6998166262668519
6.0,28,0.036000378659944654,334.0,0.12686990759185712,0.7424926887169347
7.0,23,-0.06513659070161726,262.0,0.09541603253773101,0.6998166262668519
8.0,27,0.010686049883531376,358.0,0.2942155850011495,0.9025982581466732
9.0,24,-0.034311777695710255,269.0,0.08035605745643976,0.663444811770691
10.0,24,-0.02414030929421454,305.0,0.22380275606097327,0.868242067692797
11.0,27,-0.025999776838826746,356.0,0.28301588816616063,0.9025982581466732
12.0,27,0.02426727728792626,323.0,0.1324217125504185,0.7424926887169347
13.0,23,0.011008568994286951,308.0,0.3225405811327618,0.9025982581466732
14.0,25,0.029049535411172663,335.0,0.31975423744937576,0.9025982581466732
