week,n,Bray-Curtis PCoA 3,test-statistic,p-value,q-value
2.0,9,0.07137343565281741,40.5,0.4823096976815231,0.891856012562952
3.0,9,0.039608969822402015,27.0,0.12549913522146128,0.7613910511366343
5.0,15,0.09061257152032659,58.0,0.2957525184974582,0.891856012562952
6.0,14,0.08894996238779102,59.0,0.41274895535231604,0.891856012562952
7.0,4,0.06331779795207651,14.0,0.2945772327250291,0.891856012562952
8.0,7,-0.022753646621229473,20.0,0.12213837191163296,0.7613910511366343
9.0,8,0.03857187630804951,28.0,0.23524321102939483,0.891856012562952
10.0,10,0.05761316481255864,35.0,0.218971411449987,0.891856012562952
11.0,2,0.06492851731185727,8.0,0.45309280787746414,0.891856012562952
12.0,15,0.0701469983965317,57.0,0.2754924937925467,0.891856012562952
14.0,15,0.0582103863080509,55.0,0.23713717538366474,0.891856012562952
