week,n,weighted UniFrac PCoA 3,test-statistic,p-value,q-value
2.0,29,-0.0819799802250724,420.5,0.496896611801727,0.7625859517378644
3.0,30,-0.027979729254408194,362.0,0.13583122616258847,0.6790263385173246
4.0,30,-0.05249659442846738,390.0,0.24993088593645124,0.7625859517378644
5.0,30,-0.01577212405516438,349.0,0.09742786874176712,0.6024998681672269
6.0,28,0.01045789252794275,342.0,0.1553836341079995,0.6790263385173246
7.0,23,0.016223459061812676,232.0,0.031382748266366264,0.295835383497445
8.0,27,-0.026460847637943735,323.0,0.1324217125504185,0.6790263385173246
9.0,24,0.03821245174388642,238.0,0.02519694123275277,0.26378849656784187
10.0,24,-0.0006930764256420649,230.0,0.017884059023908272,0.20911036636202074
11.0,27,0.0016822444845250514,289.0,0.0472104712990765,0.38344793679394684
12.0,27,-0.06052302477430539,352.0,0.2612505937609219,0.7625859517378644
13.0,23,-0.07890803547413276,324.0,0.43414999877975397,0.7625859517378644
14.0,25,-0.07435437934932607,326.0,0.266144757609634,0.7625859517378644
