week,n,Bray-Curtis PCoA 2,test-statistic,p-value,q-value
2.0,29,0.008866559436666007,420.5,0.496896611801727,0.9399276826752768
3.0,30,-0.0029406584656038524,389.0,0.2451382170096354,0.9399276826752768
4.0,30,-0.016071135391686642,376.0,0.18754625796800295,0.9172851055830648
5.0,30,-0.0015227044887227768,399.0,0.29520236690240037,0.9399276826752768
6.0,28,-0.00039321547310510775,355.0,0.21009202402177796,0.9252964071171833
7.0,23,0.003496355530920114,316.0,0.37705971888613643,0.9399276826752768
8.0,27,0.002338695926938003,375.0,0.3965231941043801,0.9399276826752768
9.0,24,-0.009062105415510523,310.0,0.25140647747842526,0.9399276826752768
10.0,24,-0.012646328411501878,320.0,0.3115771168675211,0.9399276826752768
11.0,27,-0.02077430575065755,332.0,0.16666190183995627,0.9065291734831586
12.0,27,0.00489387778951507,357.0,0.28859014146979745,0.9399276826752768
13.0,23,-0.005321355503118938,296.0,0.2477152265408828,0.9399276826752768
14.0,25,-0.001027296821879421,349.0,0.4107876740899973,0.9399276826752768
