week,n,Jaccard distance to week 1,test-statistic,p-value,q-value
2.0,9,0.5,40.5,0.4823096976815231,0.9443943724784429
3.0,9,0.4748201438848921,39.0,0.46481826225353534,0.9443943724784429
5.0,15,0.42916666666666653,60.0,0.33819316300045466,0.9443943724784429
6.0,14,0.4780043756837006,60.0,0.4374312366671418,0.9443943724784429
7.0,4,0.6715225563909774,10.0,0.1235799866059536,0.7326237284971059
8.0,7,0.6358695652173914,19.0,0.10200408181033577,0.6937909736232227
9.0,8,0.529628669374586,26.0,0.18032218807446937,0.8329722568941167
10.0,10,0.49344642271086314,44.0,0.4837177725697685,0.9443943724784429
11.0,2,0.4322735773443762,6.0,0.2778448951413973,0.9260319985326276
12.0,15,0.5026737967914439,61.5,0.3714452630367898,0.9443943724784429
14.0,15,0.4661654135338346,60.5,0.3491303512999716,0.9443943724784429
