week,n,Jaccard PCoA 1,test-statistic,p-value,q-value
2.0,9,-0.015230235990993811,40.5,0.4823096976815231,0.9615867047670927
3.0,9,-0.0069763248243653216,33.0,0.2682497346597282,0.9177940772336622
5.0,15,-0.02852136447468801,65.0,0.4525358909893909,0.9615867047670927
6.0,14,-0.04649138385989941,63.0,0.4874365765888691,0.9615867047670927
7.0,4,-0.03636943738208373,14.0,0.2945772327250291,0.9177940772336622
8.0,7,-0.08934916713902435,22.0,0.17038092385704645,0.845550219292644
9.0,8,0.05497019752226666,19.0,0.056175598845231926,0.47057650223547354
10.0,10,-0.09453913653103599,42.0,0.41912824319291314,0.9615867047670927
11.0,2,-0.05700360176658118,9.0,0.45309280787746414,0.9615867047670927
12.0,15,-0.005775427310617867,55.0,0.23713717538366474,0.9124979828733291
14.0,15,-0.017032472420409867,65.0,0.4525358909893909,0.9615867047670927
