week,n,weighted UniFrac PCoA 3,test-statistic,p-value,q-value
2.0,9,-0.051234100626614265,40.5,0.4823096976815231,0.9476670727912705
3.0,9,-0.0764263685338809,39.0,0.46481826225353534,0.9476670727912705
5.0,15,-0.02968213438205869,63.0,0.40574126105543945,0.9476670727912705
6.0,14,-0.05851799900057761,58.0,0.388407002077741,0.9476670727912705
7.0,4,0.0031731682145334783,10.0,0.1235799866059536,0.7656660845481833
8.0,7,-0.07299662014679383,30.0,0.45785019676566124,0.9476670727912705
9.0,8,-0.027850499150062956,28.0,0.23524321102939483,0.892040463455385
10.0,10,-0.03767174781021336,38.0,0.2978054497378648,0.9158213062903504
11.0,2,-0.09569344218805242,4.0,0.14442218317324246,0.7898181754047446
12.0,15,-0.06712412397431995,54.0,0.21911953777497112,0.892040463455385
14.0,15,-0.05908028311258948,65.0,0.4525358909893909,0.9476670727912705
