week,n,unweighted UniFrac distance to week 1,test-statistic,p-value,q-value
2.0,9,0.34852018660071205,40.5,0.4823096976815231,0.9568955335258044
3.0,9,0.3501162131962552,37.0,0.39554075646039083,0.9568955335258044
5.0,15,0.3032323303694061,47.0,0.11651899113695269,0.744041590547714
6.0,14,0.3634893136973635,63.0,0.4874365765888691,0.9568955335258044
7.0,4,0.48636589061413565,10.0,0.1235799866059536,0.744041590547714
8.0,7,0.3434823436051291,28.0,0.37541175944950045,0.9568955335258044
9.0,8,0.3965799096159674,27.0,0.2067034672141026,0.8755714599974639
10.0,10,0.3500692704837418,35.0,0.218971411449987,0.8755714599974639
11.0,2,0.379222406047393,7.0,0.36183680491588155,0.9568955335258044
12.0,15,0.371239214308083,64.0,0.4290138284937606,0.9568955335258044
14.0,15,0.38681460855061495,64.0,0.4290138284937606,0.9568955335258044
