                           OLS Regression Results                          
Dep. Variable:   ,three_rep_max_squat_change,  R-squared:         ,   0.574
Model:           ,OLS                       ,  Adj. R-squared:    ,   0.214
Method:          ,Least Squares             ,  F-statistic:       ,   1.593
Date:            ,Thu, 23 Apr 2020          ,  Prob (F-statistic):, 0.210  
Time:            ,09:19:37                  ,  Log-Likelihood:    , -91.241
No. Observations:,    25                    ,  AIC:               ,   206.5
Df Residuals:    ,    13                    ,  BIC:               ,   221.1
Df Model:        ,    11                    ,                     ,        
Covariance Type: ,nonrobust                 ,                     ,        
                      ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const                 ,    7.6245,   64.454,    0.118, 0.908, -131.620,  146.869
faith_pd              ,   -5.2888,    3.992,   -1.325, 0.208,  -13.913,    3.336
shannon               ,  -39.7538,   42.894,   -0.927, 0.371, -132.420,   52.913
pielou_e              ,  373.2873,  336.951,    1.108, 0.288, -354.651, 1101.226
Weighted_UniFrac_PC1  ,  -23.5624,   27.049,   -0.871, 0.400,  -81.999,   34.874
Weighted_UniFrac_PC2  ,   -4.2146,   27.388,   -0.154, 0.880,  -63.383,   54.954
Weighted_UniFrac_PC3  ,   42.1811,   32.051,    1.316, 0.211,  -27.060,  111.422
Unweighted_UniFrac_PC1,  167.8309,   88.614,    1.894, 0.081,  -23.607,  359.269
Unweighted_UniFrac_PC2,  -73.6320,   53.525,   -1.376, 0.192, -189.266,   42.002
Unweighted_UniFrac_PC3,  -24.1868,   36.706,   -0.659, 0.521, -103.485,   55.112
Gender                ,   -7.3104,    7.064,   -1.035, 0.320,  -22.572,    7.951
Age                   ,    2.5271,    0.890,    2.841, 0.014,    0.605,    4.449
Omnibus:      , 1.631,  Durbin-Watson:     ,   1.790
Prob(Omnibus):, 0.442,  Jarque-Bera (JB):  ,   0.749
Skew:         ,-0.409,  Prob(JB):          ,   0.688
Kurtosis:     , 3.221,  Cond. No.          ,3.81e+03

Warnings:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.81e+03. This might indicate that there are
strong multicollinearity or other numerical problems.
